country,scenario_risk_score,risk_cluster,risk_level
Afghanistan,-3.940539313859252,2,Low Risk
Albania,0.007591931002682832,1,High Risk
Algeria,0.19379857694214297,1,High Risk
Angola,-1.3914809463553706,0,Medium Risk
Argentina,1.1444596194949206,1,High Risk
Armenia,-0.10581827513064762,1,High Risk
Australia,1.1059561378012495,1,High Risk
Austria,1.0674075668780392,1,High Risk
Azerbaijan,0.4053763093967945,1,High Risk
Bahrain,0.38369039227796065,1,High Risk
Bangladesh,-1.1972430982333118,0,Medium Risk
Belarus,0.4354345093776114,1,High Risk
Belgium,1.1510164180731426,1,High Risk
Benin,-3.122289525435663,2,Low Risk
Bolivia,-0.37281570030496436,0,Medium Risk
Bosnia and Herzegovina,0.09089754557012747,1,High Risk
Botswana,-0.406001089708501,0,Medium Risk
Brazil,1.1874907005677438,1,High Risk
Bulgaria,0.388311355540754,1,High Risk
Burkina Faso,-4.242824768856539,2,Low Risk
Burundi,-6.341027086857988,2,Low Risk
Cambodia,-1.2090340039089662,0,Medium Risk
Cameroon,-1.9182963044071013,0,Medium Risk
Canada,0.8117933123636543,1,High Risk
Chad,-5.051461050729124,2,Low Risk
Chile,1.012742195568128,1,High Risk
China,1.1382081414510028,1,High Risk
Colombia,0.7032806496402572,1,High Risk
"Congo, Dem. Rep.",-4.107035332609851,2,Low Risk
"Congo, Rep.",-2.8397532804904344,2,Low Risk
Costa Rica,0.7941940437534811,1,High Risk
Cote d'Ivoire,-1.2382450002988663,0,Medium Risk
Croatia,0.6402021209424759,1,High Risk
Cuba,0.28200878309966887,1,High Risk
Cyprus,0.902479970011212,1,High Risk
Czechia,0.8919237550358848,1,High Risk
Denmark,1.4052777471922178,1,High Risk
Djibouti,-1.374796827400831,0,Medium Risk
Dominican Republic,0.6092896999432594,1,High Risk
Ecuador,0.3082193731337411,1,High Risk
"Egypt, Arab Rep.",0.15918751187466962,1,High Risk
El Salvador,-0.648678680632418,0,Medium Risk
Equatorial Guinea,-0.7781497392140269,0,Medium Risk
Estonia,0.6742119619557357,1,High Risk
Eswatini,-1.2911096272832325,0,Medium Risk
Ethiopia,-3.2545096126082975,2,Low Risk
Finland,0.6546960917643111,1,High Risk
France,1.3135190784516795,1,High Risk
Gabon,-0.13591451818681238,1,High Risk
"Gambia, The",-3.0528194773702872,2,Low Risk
Georgia,-0.045283536712803635,1,High Risk
Germany,1.5033285922013264,1,High Risk
Ghana,-0.9517271608127967,0,Medium Risk
Greece,0.8604943546530557,1,High Risk
Guatemala,-0.42448383963831926,0,Medium Risk
Guinea,-2.8382498880213447,2,Low Risk
Guinea-Bissau,-3.8915041286495726,2,Low Risk
Haiti,-2.1515723460846954,0,Medium Risk
Honduras,-1.1613644207942329,0,Medium Risk
"Hong Kong SAR, China",1.1969914306090101,1,High Risk
Hungary,0.8899633577390527,1,High Risk
India,-0.39238995802810506,0,Medium Risk
Indonesia,0.20743498978173586,1,High Risk
"Iran, Islamic Rep.",0.5075939292867051,1,High Risk
Iraq,-0.1595979193704878,1,High Risk
Ireland,1.4436615216971989,1,High Risk
Israel,1.1187435011490896,1,High Risk
Italy,1.3239626507330096,1,High Risk
Jamaica,-0.03824797166451671,1,High Risk
Japan,1.290966351331817,1,High Risk
Jordan,0.1216254767791545,1,High Risk
Kazakhstan,0.6732954973416514,1,High Risk
Kenya,-2.135262172826017,0,Medium Risk
"Korea, Rep.",0.9567596009604872,1,High Risk
Kosovo,-0.0901082651982744,1,High Risk
Kuwait,0.5679796184710091,1,High Risk
Kyrgyz Republic,-0.9512592301010417,0,Medium Risk
Lao PDR,-1.3312851056293422,0,Medium Risk
Latvia,0.753716046275417,1,High Risk
Lebanon,0.3110780835843535,1,High Risk
Lesotho,-2.426294106608771,0,Medium Risk
Liberia,-3.5525315437467246,2,Low Risk
Libya,0.10288209729830344,1,High Risk
Lithuania,0.7883764033957613,1,High Risk
Madagascar,-5.078959228057514,2,Low Risk
Malawi,-4.333810078657027,2,Low Risk
