country,scenario_risk_score,risk_cluster,risk_level
Bolivia,-0.37281570030496436,0,Medium Risk
India,-0.39238995802810506,0,Medium Risk
Botswana,-0.406001089708501,0,Medium Risk
Guatemala,-0.42448383963831926,0,Medium Risk
Mongolia,-0.6055010336610979,0,Medium Risk
El Salvador,-0.648678680632418,0,Medium Risk
Namibia,-0.7459297099934683,0,Medium Risk
Equatorial Guinea,-0.7781497392140269,0,Medium Risk
Sri Lanka,-0.9479335636891713,0,Medium Risk
Kyrgyz Republic,-0.9512592301010417,0,Medium Risk
